연번,업종명,업소명,소     재     지,면적(㎡)
298,일반음식점,상하이, 청주시 서원구 천수로 14-7  1층 (사창동),
299,일반음식점,해장마을, 청주시 서원구 예체로139번길 29  1층 (사창동),
300,일반음식점,고봉민 김밥, 청주시 서원구 1순환로 672-1  1층 (사창동),
301,일반음식점,참돈앤밥, 청주시 서원구 1순환로672번길 50 (사창동),
302,일반음식점,짱만두, 청주시 서원구 창신로32번길 21  1층 (사창동),
303,일반음식점,산골가마솥, 청주시 서원구 내수동로 129  1층 (사창동),
304,일반음식점,신 추풍령감자탕, 청주시 서원구 사직대로81번길 26  1층 (사창동),
305,일반음식점,보통의 국수집, 청주시 서원구 성봉로242번길 43  1층 (개신동),
306,일반음식점,브라보퍼블릭골프개신점 그늘집, 청주시 서원구 성봉로 178  3층 (개신동),
307,일반음식점,총각네 손 고추만두, 청주시 서원구 내수동로 140  1층 (사창동),
308,일반음식점,뽀까치기, 청주시 서원구 신율로 49 (개신동 (114  115호)),
